english_speaker,vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on
ale,ih,5.3946263910969785,14.233324163227877,16.074600893377355,49.684,-0.229870464,-0.550810599,16.403889004918792,0.082681606,-0.326199134,0.070857159
ale,ih,5.386322067594433,13.16932135728543,15.158814814814814,62.603,-0.510590268,0.772438927,15.520308962404382,-0.571844943,0.6468266503047033,-0.037786996
ale,ah,6.0226368542791056,13.057151484650227,15.001270658939688,30,0.3576231234042533,-0.043114379,15.35326747588219,0.1472980864021034,-0.033357337,-0.058401188
ale,ah,5.721471048513301,11.82001100715465,15.762065652522017,40.826,0.1866743647391207,-0.732820759,16.12145353292498,0,-0.705263532,0.016815242761758498
ale,ae,9.427017319,14.420916271721959,16.23073627844712,264.145,-0.271221873,1.258140435476328,16.58188939136241,-1.893931339,-0.27662066,-0.140303856
ale,uw,7.017683284457477,14.138687615526802,17.01724660673365,420,0.6571677423801461,2.422878302888222,17.387943300350294,-0.492420127,-0.904268549,-1.006466853
ale,ae,9.443216917654599,13.422745289943723,15.217347368421052,292.971,0.10858937815121195,1.0442267714252047,15.579089562748562,-1.466107896,0.31905380335143363,1.0056956937799022
ale,ah,6.322688947968096,10.906214160327677,15.092518628912073,31,-0.349997619,-1.552744283,15.453174331822872,2.228701065527181,3.1420353741229743,2.394375614729155
ale,ah,3.2630924222514235,12.754234234234234,15.789363146336596,50,-0.090380527,0.4273940855353491,16.15180340032528,2.775151029212367,0.9575763373993453,0.4872863872632518
ale,ih,4.357763871506049,15.168221611334321,17.280582291488265,70,0.8256426593848367,-0.239111308,17.60147574992166,-0.10106647,0.14379675643858825,-0.052709768
ale,iy,4.566115702479338,15.343975026014569,17.400716458262924,109.901,0.6277823691460052,0.5673900873105406,17.730106300522497,-0.85810883,-0.043415059,-0.219867973
ale,ae,6.817925925925925,14.561088314005353,16.288062369271724,417.706,0.3298656622724412,-0.396438081,16.615014315176833,-0.382185745,-0.229155617,0.5966935756594367
ale,iy,5.193483146067416,7.337101658255227,15.644986844768267,474,1.8500174105807288,-0.061259822,16.074168385643027,-0.18781513,-1.090498532,-0.097748283
ale,ae,8.406666666666666,12.396882430647292,15.845607625099285,231,-0.156677905,-1.416308554,16.18798518342747,-0.073251366,-0.133313479,-0.058339254
ale,uh,4.293556485355648,14.781619256017505,15.586552706552704,56.645,0.036859084,0.648544822,15.924616443251384,0.045900717,-3.817154086,-0.336695444
ale,iy,4.805704944830404,14.923267776096822,17.56419306684359,149,-0.285746668,-0.335842962,17.88708263932114,-0.221658702,-0.253431276,-0.314541924
ale,uw,4.521159420289854,8.497394247038917,15.61693181818182,69,0.027063234551878423,-1.498874733,16.010890965929196,-0.774435578,2.3137803187544304,0.5926197341370756
ale,aa,7.6856617126680815,11.796097023153251,16.272839459150635,150,0.2805180345071623,-0.530743126,16.63527971313932,-0.039562422,0.19689917043021765,0.23086286643075837
ale,iy,5.809567588624854,9.107581699346406,15.247541465462943,170,0.1364695494091679,-3.677913935,15.603787583596727,-1.861739284,-2.589747927,-0.212480477
ale,ah,8.185096418732783,13.792452471482889,16.80342651,30,0.1128580264943917,-0.029605376,17.14568447485368,-0.024958488,-0.107754485,-0.198919053
ale,uw,6.139103104637791,15.261421681694275,17.81277473412826,79.693,0.5227287436468364,1.4098985028863282,18.154635285915976,-0.077494794,0.5237510764443307,0.067672836
ale,iy,4.6465706051873195,14.854124809741249,17.43211315036201,140,1.3031048697006327,0.29303649573589574,17.764407047467106,0.2465348079180929,-9.848456794,-2.29215979
ale,ah,5.7134246575342456,9.848605378361476,15.130498620835985,80,-0.11207943,-0.712698839,15.516809325064102,0.277926694,0.5703623246267533,-0.185183694
ale,uh,8.185096418732783,14.296510832383126,16.55256571640133,30,0.1698166133799841,0.5367872202792423,16.895664450949727,0.9504990135673808,0.013648620919834542,0.069724304
ale,ah,4.385166666666667,12.154301075268817,14.191755233494364,100,-1.416423357,0.6390102632429677,14.56516251107969,0.9678719633612101,0.16883305487726474,2.541079068831218
ale,aa,6.261866666666665,10.915204678362572,15.715544833132286,40,-0.534410679,3.5917703349282304,16.14574361523392,-0.076551179,1.3183906170129962,-0.012759004
ale,iy,4.485060141020323,13.000343694718222,15.75363782051282,80,NA,NA,NA,0.045105421893583575,-2.701973865,0.1660309492032681
ale,ah,5.353038630027877,11.985223068552775,14.896204506065859,30,-0.107785459,-0.111888942,15.26174832,0.074739148,-0.070340619,-0.296044471
